Company Name,Ticker
REGAL INTERNATIONAL GROUP LTD.,REGAL INTERNATIONAL GROUP LTD. (SGX:UV1)
RESOURCES PRIMA GROUP LIMITED,RESOURCES PRIMA GROUP LIMITED (SGX:5MM)
REVEZ CORPORATION LTD.,REVEZ CORPORATION LTD. (SGX:RCU)
RH PETROGAS LIMITED,RH PETROGAS LIMITED (SGX:T13)
RICH CAPITAL HOLDINGS LIMITED,RICH CAPITAL HOLDINGS LIMITED (SGX:5G4)
RIVERSTONE HOLDINGS LIMITED,RIVERSTONE HOLDINGS LIMITED (SGX:AP4)
SAKAE HOLDINGS LTD.,SAKAE HOLDINGS LTD. (SGX:5DO)
SAMKO TIMBER LIMITED,SAMKO TIMBER LIMITED (SGX:E6R)
SAMURAI 2K AEROSOL LIMITED,SAMURAI 2K AEROSOL LTD (SGX:Y8E)
SAN TEH LTD,SAN TEH LIMITED (SGX:S46)
SANLI ENVIRONMENTAL LIMITED,SANLI ENVIRONMENTAL LIMITED (SGX:1E3)
SECOND CHANCE PROPERTIES LTD,SECOND CHANCE PROPERTIES LTD (SGX:528)
SEMBCORP MARINE LTD,SEMBCORP MARINE LTD (SGX:S51)
SEN YUE HOLDINGS LIMITED,SEN YUE HOLDINGS LIMITED (SGX:5BS)
SERIAL SYSTEM LTD,SERIAL SYSTEM LTD (SGX:S69)
SEROJA INVESTMENTS LIMITED,SEROJA INVESTMENTS LIMITED (SGX:IW5)
SERRANO LIMITED,SERRANO LIMITED (SGX:40R)
SEVAK LIMITED,SEVAK LIMITED (SGX:BAI)
SHANGHAI TURBO ENTERPRISES LTD,SHANGHAI TURBO ENTERPRISES LTD (SGX:AWM)
SHANGRI-LA ASIA LIMITED,SHANGRI-LA ASIA LIMITED (SGX:S07)
SHEN YAO HOLDINGS LIMITED,SHEN YAO HOLDINGS LIMITED (SGX:A78)
SHENG SIONG GROUP LTD.,SHENG SIONG GROUP LTD (SGX:OV8)
SHINVEST HOLDING LTD.,SHINVEST HOLDING LTD. (SGX:BJW)
SHOPPER360 LIMITED,SHOPPER360 LIMITED (SGX:1F0)
SIA ENGINEERING COMPANY LIMITED,SIA ENGINEERING CO LTD (SGX:S59)
SIIC ENVIRONMENT HOLDINGS LTD.,SIIC ENVIRONMENT HOLDINGS LTD. (SGX:BHK)
SILKROAD NICKEL LTD.,SILKROAD NICKEL LTD. (SGX:STP)
SIM LEISURE GROUP LTD.,SIM LEISURE GROUP LTD. (SGX:URR)
SIN GHEE HUAT CORPORATION LTD.,SIN GHEE HUAT CORPORATION LTD. (SGX:B7K)
SIN HENG HEAVY MACHINERY LIMITED,SIN HENG HEAVY MACHINERY LTD (SGX:BKA)
SINARMAS LAND LIMITED,SINARMAS LAND LIMITED (SGX:A26)
SINCAP GROUP LIMITED,SINCAP GROUP LIMITED (SGX:5UN)
SINGAPORE AIRLINES LIMITED,SINGAPORE AIRLINES LTD (SGX:C6L)
SINGAPORE EDEVELOPMENT LIMITED,SINGAPORE EDEVELOPMENT LTD (SGX:40V)
SINGAPORE KITCHEN EQUIPMENT LIMITED,SINGAPORE KITCHEN EQUIPMENTLTD (SGX:5WG)
SINGAPORE LAND GROUP LIMITED,SINGAPORE LAND GROUP LTD (SGX:U06)
SINGAPORE MEDICAL GROUP LIMITED,SINGAPORE MEDICAL GROUP LTD (SGX:5OT)
SINGAPORE MYANMAR INVESTCO LIMITED,SINGAPORE MYANMAR INVESTCO LTD (SGX:Y45)
SINGAPORE POST LIMITED,SINGAPORE POST LIMITED (SGX:S08)
SINGAPORE SHIPPING CORPORATION LIMITED,SINGAPORE SHIPPING CORP LTD (SGX:S19)
SINGAPORE TECHNOLOGIES ENGINEERING LTD,SINGAPORE TECH ENGINEERING LTD (SGX:S63)
SINGAPORE TELECOMMUNICATIONS LIMITED,SINGTEL (SGX:Z74)
SINJIA LAND LIMITED,SINJIA LAND LIMITED (SGX:5HH)
SINO GRANDNESS FOOD INDUSTRY GROUP LIMITED,SINO GRANDNESS FOOD IND GP LTD (SGX:T4B)
SINOCLOUD GROUP LIMITED,SINOCLOUD GROUP LIMITED (SGX:5EK)
SINWA LIMITED,SINWA LIMITED (SGX:5CN)
SITRA HOLDINGS,SITRA HOLDINGS (INTL) LIMITED (SGX:5LE)
SK JEWELLERY GROUP LIMITED,SK JEWELLERY GROUP LIMITED (SGX:42G)
SLB DEVELOPMENT LTD.,SLB DEVELOPMENT LTD. (SGX:1J0)
SMI VANTAGE LIMITED,SMI VANTAGE LIMITED (SGX:Y45)
SMJ INTERNATIONAL HOLDINGS LTD.,SMJ INTERNATIONAL HOLDINGSLTD. (SGX:40B)
SOILBUILD CONSTRUCTION GROUP LTD.,SOILBUILD CONSTRUCTION GRP LTD (SGX:S7P)
SOON LIAN HOLDINGS LIMITED,SOON LIAN HOLDINGS LIMITED (SGX:5MD)
SOUP RESTAURANT GROUP LIMITED,SOUP RESTAURANT GROUP LIMITED (SGX:5KI)
SOUTHERN PACKAGING GROUP LIMITED,SOUTHERN PACKAGING GROUP LTD (SGX:BQP)
SPACKMAN ENTERTAINMENT GROUP LIMITED,SPACKMAN ENTERTAINMENT GRP LTD (SGX:40E)
SPINDEX INDUSTRIES LIMITED,SPINDEX INDUSTRIES LIMITED (SGX:564)
ST GROUP FOOD INDUSTRIES HOLDINGS LIMITED,ST GROUP FOOD IND HLDG LIMITED (SGX:DRX)
STAMFORD LAND CORPORATION LTD,STAMFORD LAND CORPORATION LTD (SGX:H07)
STAMFORD TYRES CORPORATION LIMITED,STAMFORD TYRES CORPORATIONLTD (SGX:S29)
STAR PHARMACEUTICAL LIMITED,STAR PHARMACEUTICAL LIMITED (SGX:AYL)
STRACO CORPORATION LIMITED,STRACO CORPORATION LIMITED (SGX:S85)
SUNMOON FOOD COMPANY LIMITED,SUNMOON FOOD COMPANY LIMITED (SGX:AAJ)
SUNNINGDALE TECH LTD.,SUNNINGDALE TECH LTD (SGX:BHQ)
SUNPOWER GROUP LTD.,SUNPOWER GROUP LTD. (SGX:5GD)
SUNRISE SHARES HOLDINGS LTD.,SUNRISE SHARES HOLDINGS LTD. (SGX:581)
SUTL ENTERPRISE LIMITED,SUTL ENTERPRISE LIMITED (SGX:BHU)
SYNAGIE CORPORATION LTD.,SYNAGIE CORPORATION LTD. (SGX:V2Y)
SYSMA HOLDINGS LIMITED,SYSMA HOLDINGS LIMITED (SGX:5UO)
T T J HOLDINGS LIMITED,TTJ HOLDINGS LIMITED (SGX:K1Q)
TA CORPORATION LTD.,TA CORPORATION LTD (SGX:PA3)
TAKA JEWELLERY HOLDINGS LIMITED,TAKA JEWELLERY HOLDINGS LIMITED (SGX:42L)
TALKMED GROUP LIMITED,TALKMED GROUP LIMITED (SGX:5G3)
TAT SENG PACKAGING GROUP LTD,TAT SENG PACKAGING GROUP LTD (SGX:T12)
TECKWAH INDUSTRIAL CORPORATION LTD,TECKWAH INDUSTRIAL CORP LTD (SGX:561)
TEHO INTERNATIONAL INC LTD.,TEHO INTERNATIONAL INC LTD. (SGX:5OQ)
THAKRAL CORPORATION LTD,THAKRAL CORPORATION LTD (SGX:AWI)
THE PLACE HOLDINGS LIMITED,THE PLACE HOLDINGS LIMITED (SGX:E27)
THOMSON MEDICAL GROUP LIMITED,THOMSON MEDICAL GROUP LIMITED (SGX:A50)
TIANJIN ZHONG XIN PHARM GROUP,TIANJIN ZHONG XIN PHARM GROUP (SGX:T14)
TIONG SENG HOLDINGS LIMITED,TIONG SENG HOLDINGS LIMITED (SGX:BFI)
TIONG WOON CORPORATION HOLDING LTD,TIONG WOON CORP HOLDING LTD (SGX:BQM)
TLV HOLDINGS LIMITED,TLV HOLDINGS LIMITED (SGX:42L)
TOP GLOBAL LIMITED,TOP GLOBAL LIMITED (SGX:BHO)
TOSEI CORPORATION,TOSEI CORPORATION (SGX:S2D)
TOTM TECHNOLOGIES LIMITED,TOTM TECHNOLOGIES LIMITED (SGX:42F)
TRANSCORP HOLDINGS LIMITED,TRANSCORP HOLDINGS LIMITED (SGX:T19)
TRICKLESTAR LIMITED,TRICKLESTAR LIMITED (SGX:CYW)
TRITECH GROUP LIMITED,TRITECH GROUP LIMITED (SGX:5G9)
TSH CORPORATION LIMITED,TSH CORPORATION LIMITED (SGX:574)
TUNG LOK RESTAURANTS,TUNG LOK RESTAURANTS 2000 LTD (SGX:540)
UNI-ASIA GROUP LIMITED,UNI-ASIA HOLDINGS LIMITED (SGX:AYF)
UNION STEEL HOLDINGS LIMITED,UNION STEEL HOLDINGS LIMITED (SGX:BLA)
UNITED FOOD HOLDINGS LIMITED,UNITED FOOD HOLDINGS LIMITED (SGX:AZR)
UNITED INDUSTRIAL CORPORATION LIMITED,UNITED INDUSTRIAL CORP LTD (SGX:U06)
UNUSUAL LIMITED,UNUSUAL LIMITED (SGX:1D1)
UOL GROUP LIMITED,UOL GROUP LIMITED (SGX:U14)
V2Y CORPORATION LTD.,V2Y CORPORATION LTD. (SGX:V2Y)
VALLIANZ HOLDINGS LIMITED,VALLIANZ HOLDINGS LTD (SGX:WPC)
VALUEMAX GROUP LIMITED,VALUEMAX GROUP LIMITED (SGX:T6I)
VALUETRONICS HOLDINGS LIMITED,VALUETRONICS HOLDINGS LIMITED (SGX:BN2)
VASHION GROUP LTD.,VASHION GROUP LTD. (SGX:43J)
VCPLUS LIMITED,VCPLUS LIMITED (SGX:43E)
VENTURE CORPORATION LIMITED,VENTURE CORPORATION LIMITED (SGX:V03)
VERSALINK HOLDINGS LIMITED,VERSALINK HOLDINGS LIMITED (SGX:40N)
VIBRANT GROUP LIMITED,VIBRANT GROUP LIMITED (SGX:BIP)
VIBROPOWER CORPORATION LIMITED,VIBROPOWER CORPORATION LIMITED (SGX:BJD)
VICPLAS INTERNATIONAL LTD,VICPLAS INTERNATIONAL LTD (SGX:569)
VIKING OFFSHORE AND MARINE LIMITED,VIKING OFFSHORE & MARINE LTD (SGX:1Y1)
VIVA INDUSTRIAL TRUST MANAGEMENT PTE. LTD.,VIVA INDUSTRIAL TRUST (SGX:T8B)
VIVIDTHREE HOLDINGS LTD.,VIVIDTHREE HOLDINGS LTD. (SGX:OMK)
WEE HUR HOLDINGS LTD.,WEE HUR HOLDINGS LTD. (SGX:E3B)
WEIYE HOLDINGS LIMITED,WEIYE HOLDINGS LIMITED (SGX:BMA)
WILMAR INTERNATIONAL LIMITED,WILMAR INTERNATIONAL LIMITED (SGX:F34)
WILTON RESOURCES CORPORATION LIMITED,WILTON RESOURCES CORP LIMITED (SGX:5F7)
WORLD CLASS GLOBAL LIMITED,WORLD CLASS GLOBAL LIMITED (SGX:1E6)
WORLD PRECISION MACHINERY LIMITED,WORLD PRECISION MACHINERY LTD (SGX:B49)
XMH HOLDINGS LTD.,XMH HOLDINGS LTD. (SGX:BQF)
YAMADA GREEN RESOURCES LIMITED,YAMADA GREEN RESOURCES LIMITED (SGX:BJV)
YANGZIJIANG SHIPBUILDING,YANGZIJIANG SHIPBLDG HLDGS LTD (SGX:BS6)
YANLORD LAND GROUP LIMITED,YANLORD LAND GROUP LIMITED (SGX:Z25)
YHI INTERNATIONAL LIMITED,YHI INTERNATIONAL LIMITED (SGX:BPF)
YINDA INFOCOMM LIMITED,YINDA INFOCOMM LIMITED (SGX:42F)
YING LI INTERNATIONAL REAL ESTATE LIMITED,YING LI INTL REAL ESTATE LTD (SGX:5DM)
YOMA STRATEGIC HOLDINGS LTD.,YOMA STRATEGIC HOLDINGS LTD (SGX:Z59)
YONGMAO HOLDINGS LIMITED,YONGMAO HOLDINGS LIMITED (SGX:BKX)
YONGNAM HOLDINGS LIMITED,YONGNAM HOLDINGS LIMITED (SGX:AXB)
YORKSHINE HOLDINGS LIMITED,YORKSHINE HOLDINGS LIMITED (SGX:MR8)
YUUZOO NETWORKS GROUP CORPORATION,YUUZOO NETWORKS GROUP CORP (SGX:AFC)
