Company Name,Ticker
BOUSTEAD PROJECTS LIMITED,BOUSTEAD PROJECTS LIMITED (SGX:AVM)
BREADTALK GROUP LIMITED,BREADTALK GROUP LIMITED (SGX:CTN)
BROADWAY INDUSTRIAL GROUP LIMITED,BROADWAY INDUSTRIAL GROUP LTD (SGX:B69)
BROOK CROMPTON HOLDINGS LTD.,BROOK CROMPTON HOLDINGS LTD. (SGX:AWC)
BUMITAMA AGRI LTD.,BUMITAMA AGRI LTD. (SGX:P8Z)
BUND CENTER INVESTMENT LTD,BUND CENTER INVESTMENT LTD (SGX:BTE)
CAMSING HEALTHCARE LIMITED,CAMSING HEALTHCARE LIMITED (SGX:BAC)
CAPALLIANZ HOLDINGS LIMITED,CAPALLIANZ HOLDINGS LIMITED (SGX:594)
CAPITAL WORLD LIMITED.,CAPITAL WORLD LIMITED. (SGX:1D5)
CAPITALAND LIMITED,CAPITALAND LIMITED (SGX:C31)
CASA HOLDINGS LIMITED,CASA HOLDINGS LIMITED (SGX:C04)
CDW HOLDING LIMITED,CDW HOLDING LIMITED (SGX:BXE)
CFM HOLDINGS LIMITED,CFM HOLDINGS LIMITED (SGX:5EB)
CHARISMA ENERGY SERVICES LIMITED,CHARISMA ENERGY SERVICES LTD (SGX:5QT)
CHASEN HOLDINGS LIMITED,CHASEN HOLDINGS LIMITED (SGX:5NV)
CHASWOOD RESOURCES HOLDINGS LTD.,CHASWOOD RESOURCES HLDGS LTD. (SGX:5TW)
CHEMICAL INDUSTRIES,CHEMICAL INDUSTRIES (F.E.) LTD (SGX:C05)
CHEUNG WOH TECHNOLOGIES LTD,CHEUNG WOH TECHNOLOGIES LTD (SGX:C50)
CHINA EVERBRIGHT WATER LIMITED,CHINA EVERBRIGHT WATER LIMITED (SGX:U9E)
CHINA HAIDA LTD.,CHINA HAIDA LTD. (SGX:C92)
CHINA INTERNATIONAL HOLDINGS LIMITED,CHINA INTERNATIONAL HLDGS LTD (SGX:BEH)
CHINA JISHAN HOLDINGS LIMITED,CHINA JISHAN HOLDINGS LIMITED (SGX:J18)
CHINA KUNDA TECHNOLOGY HOLDINGS LIMITED,CHINA KUNDA TECH HOLDINGS LTD (SGX:GU5)
CHINA OIL AND GAS GROUP LIMITED,GOLDEN ENERGY AND RESOURCESLTD (SGX:AUE)
CHINA REAL ESTATE GRP LTD.,CHINA REAL ESTATE GRP LTD. (SGX:5RA)
CHINA STAR FOOD GROUP LIMITED,CHINA STAR FOOD GROUP LIMITED (SGX:42W)
CHINA SUNSINE CHEMICAL HOLDINGS LTD.,CHINA SUNSINE CHEM HLDGS LTD (SGX:QES)
CHINESE GLOBAL INVESTORS GROUP LTD.,CHINESE GLOBAL INVESTORS GRP (SGX:5CJ)
CHIP ENG SENG CORPORATION LTD.,CHIP ENG SENG CORPORATION LTD (SGX:C29)
CHUAN HUP HOLDINGS LIMITED,CHUAN HUP HOLDINGS LIMITED (SGX:C33)
CITIC ENVIROTECH LTD.,CITIC ENVIROTECH LTD. (SGX:CEE)
CITY DEVELOPMENTS LIMITED,CITY DEVELOPMENTS LIMITED (SGX:C09)
CITYNEON HOLDINGS LIMITED,CITYNEON HOLDINGS LIMITED (SGX:5HJ)
CIVMEC LIMITED,CIVMEC LIMITED (SGX:P9D)
COLEX HOLDINGS LIMITED,COLEX HOLDINGS LIMITED (SGX:567)
COMBINE WILL INTL HLDGS LTD,COMBINE WILL INTL HLDGS LTD (SGX:N0Z)
COMFORTDELGRO CORPORATION LIMITED,COMFORTDELGRO CORPORATION LTD (SGX:C52)
COMPACT METAL INDUSTRIES LTD,COMPACT METAL INDUSTRIES LTD (SGX:T4E)
CORDLIFE GROUP LIMITED,CORDLIFE GROUP LIMITED (SGX:P8A)
CPH LTD.,CPH LTD (SGX:539)
CREATIVE TECHNOLOGY LTD.,CREATIVE TECHNOLOGY LTD (SGX:C76)
CROMWELL EREIT MANAGEMENT PTE. LTD.,CROMWELL EUROPEAN REIT (SGX:CNNU)
CSC HOLDINGS LIMITED,CSC HOLDINGS LTD (SGX:C06)
CSE GLOBAL LIMITED,CSE GLOBAL LTD (SGX:544)
CWX GLOBAL LIMITED,CWX GLOBAL LIMITED (SGX:594)
DATAPULSE TECHNOLOGY LIMITED,DATAPULSE TECHNOLOGY LIMITED (SGX:BKW)
DBS GROUP HOLDINGS LTD,DBS GROUP HOLDINGS LTD (SGX:D05)
DEBAO PROPERTY DEVELOPMENT LTD.,DEBAO PROPERTY DEVELOPMENT LTD (SGX:BTF)
DECLOUT LIMITED,DECLOUT LIMITED (SGX:5UZ)
DEL MONTE PACIFIC LIMITED,DEL MONTE PACIFIC LIMITED (SGX:D03)
DELFI LIMITED,DELFI LIMITED (SGX:P34)
DELONG HOLDINGS LIMITED,DELONG HOLDINGS LIMITED (SGX:BQO)
DESIGN STUDIO GROUP LTD.,DESIGN STUDIO GROUP LTD. (SGX:D11)
DUKANG DISTILLERS HLDGS LTD,DUKANG DISTILLERS HLDGS LTD (SGX:BKV)
DUTECH HOLDINGS LIMITED,DUTECH HOLDINGS LIMITED (SGX:CZ4)
DUTY FREE INTERNATIONAL LIMITED,DUTY FREE INTERNATIONALLIMITED (SGX:5SO)
DYNA-MAC HOLDINGS LTD.,DYNA-MAC HOLDINGS LTD. (SGX:NO4)
DYNAMIC COLOURS LIMITED,DYNAMIC COLOURS LIMITED (SGX:D6U)
ECOWISE HOLDINGS LIMITED,ECOWISE HOLDINGS LIMITED (SGX:5CT)
EINDEC CORPORATION LIMITED,EINDEC CORPORATION LIMITED (SGX:42Z)
ELLIPSIZ LTD,ELLIPSIZ LTD (SGX:BIX)
ENECO ENERGY LIMITED,ENECO ENERGY LIMITED (SGX:R14)
ENGRO CORPORATION LIMITED,ENGRO CORPORATION LIMITED (SGX:S44)
ENVICTUS INTERNATIONAL HOLDINGS LIMITED,ENVICTUS INTERNATIONAL HLDGLTD (SGX:BQD)
ENVIRO-HUB HOLDINGS LTD.,ENVIRO-HUB HOLDINGS LTD (SGX:L23)
EPICENTRE HOLDINGS LIMITED,EPICENTRE HOLDINGS LIMITED (SGX:5MQ)
ES GROUP,ES GROUP (HOLDINGS) LIMITED (SGX:5RC)
EXCELPOINT TECHNOLOGY LTD.,EXCELPOINT TECHNOLOGY LTD (SGX:BDF)
EZION HOLDINGS LIMITED,EZION HOLDINGS LIMITED (SGX:5ME)
F J BENJAMIN HOLDINGS LTD,F J BENJAMIN HOLDINGS LTD (SGX:F10)
FAR EAST GROUP LIMITED,FAR EAST GROUP LIMITED (SGX:5TJ)
FAR EAST ORCHARD LIMITED,FAR EAST ORCHARD LIMITED (SGX:O10)
FEDERAL INTERNATIONAL,FEDERAL INT(2000) LTD (SGX:BDU)
FIGTREE HOLDINGS LIMITED,FIGTREE HOLDINGS LIMITED (SGX:5F4)
FIRST RESOURCES LIMITED,FIRST RESOURCES LIMITED (SGX:EB5)
FOOD EMPIRE HOLDINGS LIMITED,FOOD EMPIRE HOLDINGS LIMITED (SGX:F03)
FORISE INTERNATIONAL LIMITED,FORISE INTERNATIONAL LIMITED (SGX:I5H)
FRASER AND NEAVE LIMITED.,"FRASER AND NEAVE, LIMITED (SGX:F99)"
FU YU CORPORATION LIMITED,FU YU CORPORATION LTD (SGX:F13)
FUJI OFFSET PLATES MANUFACTURING LTD,FUJI OFFSET PLATES MFG LTD (SGX:508)
FUXING CHINA GROUP LIMITED,FUXING CHINA GROUP LIMITED (SGX:AWK)
G. K. GOH HOLDINGS LIMITED,G. K. GOH HOLDINGS LIMITED (SGX:G41)
GCCP RESOURCES LIMITED,GCCP RESOURCES LIMITED (SGX:41T)
GENTING SINGAPORE LIMITED,GENTING SINGAPORE LIMITED (SGX:G13)
GENTING SINGAPORE PLC,GENTING SINGAPORE LIMITED (SGX:G13)
GEO ENERGY RESOURCES LIMITED,GEO ENERGY RESOURCES LIMITED (SGX:RE4)
GKE CORPORATION LIMITED,GKE CORPORATION LIMITED (SGX:595)
GLOBAL DRAGON LIMITED,GLOBAL DRAGON LIMITED (SGX:586)
GLOBAL INVACOM GROUP LIMITED,GLOBAL INVACOM GROUP LIMITED (SGX:QS9)
GLOBAL TESTING CORPORATION LIMITED,GLOBAL TESTING CORPORATION LTD (SGX:AYN)
GOLDEN AGRI-RESOURCES LTD,GOLDEN AGRI-RESOURCES LTD (SGX:E5H)
GOLDEN ENERGY AND RESOURCES LIMITED,GOLDEN ENERGY AND RESOURCESLTD (SGX:AUE)
GOODLAND GROUP LIMITED,GOODLAND GROUP LIMITED (SGX:5PC)
GP INDUSTRIES LIMITED,GP INDUSTRIES LIMITED (SGX:G20)
GREAT EASTERN HOLDINGS LIMITED,GREAT EASTERN HLDGS LTD (SGX:G07)
GREEN BUILD TECHNOLOGY LIMITED,GREEN BUILD TECHNOLOGY LIMITED (SGX:Y06)
GYP PROPERTIES LIMITED,GYP PROPERTIES LIMITED (SGX:AWS)
HAI LECK HOLDINGS LIMITED,HAI LECK HOLDINGS LIMITED (SGX:BLH)
HALCYON AGRI CORPORATION LIMITED,HALCYON AGRI CORPORATION LTD (SGX:5VJ)
HANWELL HOLDINGS LIMITED,HANWELL HOLDINGS LIMITED (SGX:DM0)
HAW PAR CORPORATION LIMITED,HAW PAR CORP LTD (SGX:H02)
HC SURGICAL SPECIALISTS LIMITED,HC SURGICAL SPECIALISTSLIMITED (SGX:1B1)
HEALTHBANK HOLDINGS LIMITED,HEALTHBANK HOLDINGS LIMITED (SGX:40B)
HEALTHWAY MEDICAL CORPORATION LIMITED,HEALTHWAY MEDICAL CORP LTD (SGX:5NG)
HEATEC JIETONG HOLDINGS LTD.,HEATEC JIETONG HOLDINGS LTD. (SGX:5OR)
HEETON HOLDINGS LIMITED,HEETON HOLDINGS LIMITED (SGX:5DP)
HGH HOLDINGS LTD.,HGH HOLDINGS LTD. (SGX:5GZ)
HIAP HOE LIMITED,HIAP HOE LIMITED (SGX:5JK)
HIAP SENG ENGINEERING LTD,HIAP SENG ENGINEERING LTD (SGX:510)
HIAP TONG CORPORATION LTD.,HIAP TONG CORPORATION LTD. (SGX:5PO)
HOCK LIAN SENG HOLDINGS LIMITED,HOCK LIAN SENG HOLDINGS LTD (SGX:J2T)
